file,noise,snr,PESQ,PermEn,D2,RR,tau,m,CSI
7021-79730-0003.flac,henon,5,1.0389,0.9797,3.2994,0.0816,19,8,0.2353
7021-79730-0003.flac,henon,10,1.0582,0.9739,0.0723,0.6247,15,8,0.4153
7021-79730-0003.flac,bernoulli,-10,4.5234,0.8968,0,1,6,8,0.6647
7021-79730-0003.flac,bernoulli,-5,4.5305,0.8968,0,1,6,8,0.6647
7021-79730-0003.flac,bernoulli,0,4.5452,0.8968,0,1,6,8,0.6647
7021-79730-0003.flac,bernoulli,5,4.5703,0.8968,0,1,6,8,0.6647
7021-79730-0003.flac,bernoulli,10,4.5888,0.8968,0,1,6,8,0.6647
7021-79730-0003.flac,ikeda,-10,1.0325,0.9795,3.3336,0.0011,11,8,0.1924
7021-79730-0003.flac,ikeda,-5,1.0299,0.9794,4.2454,0.0018,11,8,0.1824
7021-79730-0003.flac,ikeda,0,1.0311,0.9795,3.5534,0.008,11,8,0.1896
7021-79730-0003.flac,ikeda,5,1.0372,0.9794,3.4108,0.0847,11,8,0.1917
7021-79730-0003.flac,ikeda,10,1.0562,0.9795,0.0683,0.628,11,8,0.3719
7021-79730-0003.flac,lorenz,-10,1.0707,0.9989,0.8832,0.3237,15,2,0.3537
7021-79730-0003.flac,lorenz,-5,1.1156,0.9989,0.8295,0.3771,15,2,0.3576
7021-79730-0003.flac,lorenz,0,1.2231,0.9988,0.7799,0.4406,15,2,0.3614
7021-79730-0003.flac,lorenz,5,1.4074,0.9988,0.797,0.6436,15,2,0.3601
7021-79730-0003.flac,lorenz,10,1.7714,0.896,0.0001,0.8336,15,3,0.7048
7021-79730-0003.flac,rossler,-10,1.0571,0.9398,1.2433,0.1842,39,3,0.3583
7021-79730-0003.flac,rossler,-5,1.1022,0.9397,1.2087,0.1901,39,3,0.3601
7021-79730-0003.flac,rossler,0,1.1754,0.9398,1.1085,0.2577,39,3,0.3664
7021-79730-0003.flac,rossler,5,1.3375,0.9398,1.2907,0.4745,39,3,0.3602
7021-79730-0003.flac,rossler,10,1.6626,0.9397,0.0074,0.8364,39,3,0.5045
7021-79730-0003.flac,chen,-10,1.0912,0.8979,1.5728,0.1241,10,3,0.3291
7021-79730-0003.flac,chen,-5,1.1064,0.8979,1.5072,0.1534,10,3,0.339
7021-79730-0003.flac,chen,0,1.1434,0.8979,1.3411,0.2234,10,3,0.3636
7021-79730-0003.flac,chen,5,1.2214,0.8979,1.6693,0.4086,10,3,0.3967
7021-79730-0003.flac,chen,10,1.3923,0.8979,0.0018,0.8483,10,3,0.6624
7021-79730-0003.flac,mackey_glass,-10,1.1021,0.9516,1.4498,0.1458,12,3,0.2944
7021-79730-0003.flac,mackey_glass,-5,1.12,0.9516,1.3868,0.1762,12,3,0.2974
7021-79730-0003.flac,mackey_glass,0,1.1712,0.9516,1.2302,0.2418,12,3,0.3056
7021-79730-0003.flac,mackey_glass,5,1.278,0.9516,1.3804,0.4221,12,3,0.3006
